id,fecha,horaDesde,horaHasta,zona,zonaResumida,localidad,motivo,motivoExplicacion,motivoResumido
48084,10/09/2022,07:30,13:00,"Barrios: Country Aguas Claras,  Alameda, Quintitas Golf, Camino a Tres Acequias,  Buteller, Río Negro, Comisario Medina y Estaciónde Servicio Puma (puente Islas Malvinas).",,Rio Cuarto,Poda Sobre Red Aérea De Media Tension.,"Se podar&aacute;n &aacute;rboles con ramas a&ntilde;osas que podr&iacute;an poner en riesgo las l&iacute;neas el&eacute;ctricas, cayendo sobre ellas durante las tormentas. Algunos de los barrios en los que se realizar&aacute; esta tarea son:",Poda Preventiva
48140,10/09/2022,08:00,12:00,Paso de Piedra.,,Malagueño,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48088,10/09/2022,08:00,13:00,"barrios Ampliación San Fernando, Las Flores, Ampliación Kennedy, Cañaveral y General Artigas, en forma parcial. Y barrio Terranova en forma total.",,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48133,10/09/2022,08:00,12:30,"barrios Villa Belgrano, Granja de Funes, A. Centeno, Villa Los Ángeles, San Marcelo y Villa Claret en forma parcial.",,Cordoba,Mantenimiento En Red Subterránea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48134,10/09/2022,08:30,11:30,barrio Independencia en forma parcial.,,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48131,10/09/2022,09:00,12:30,Camino a Juárez Celman desde Ruta E 53 a Au. Juárez Celman Km 13,,Juarez Celman,Poda Sobre Red Aérea De Media Tension.,"Se podar&aacute;n &aacute;rboles con ramas a&ntilde;osas que podr&iacute;an poner en riesgo las l&iacute;neas el&eacute;ctricas, cayendo sobre ellas durante las tormentas. Algunos de los barrios en los que se realizar&aacute; esta tarea son:",Poda Preventiva
48135,10/09/2022,09:00,12:00,Instituto del quemado (Av. Patria 650).,,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48055,10/09/2022,13:30,18:30,"calles Pedro Goyena, Eduardo Bas, Baigorria, Chiclana y Newbery.",,Rio Cuarto,Poda Sobre Red Aérea De Media Tension.,"Se podar&aacute;n &aacute;rboles con ramas a&ntilde;osas que podr&iacute;an poner en riesgo las l&iacute;neas el&eacute;ctricas, cayendo sobre ellas durante las tormentas. Algunos de los barrios en los que se realizar&aacute; esta tarea son:",Poda Preventiva
48089,10/09/2022,13:30,18:30,"barrios Ampliación Poeta Lugones, Poeta Lugones y Las Magnolias, en forma parcial.",,Cordoba,Mantenimiento En Red Subterránea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48090,10/09/2022,17:00,13:00,Mercado Norte (Oncativo 50).,,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48139,11/09/2022,07:00,11:00,"barrios Mainero, Bernardi, San Vicente y Praderas del Sur.",,Bell Ville,Puesta En Servicio De Nueva Red Aérea.,"Los elementos de confort que sumamos cada d&iacute;a en nuestros hogares, hacen que el aumento de la demanda el&eacute;ctrica no se detenga. Para poder satisfacer esa demanda, pondremos en marcha nuevas sub estaciones transformadoras. Algunos de los barrios beneficiados son:",Incorporaci&Oacute;N De Nuevas Sub Estaciones Transformadoras
48082,11/09/2022,07:30,11:30,"Localidades de La Carlota, Santa Eufemia y Los Cisnes",,Cordoba,Mantenimiento En Sub Estación Transformadora.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48085,11/09/2022,07:30,13:00,"Pedro Nolasco Rodriguez,  Ruta A005, RíoNegro y Río Limay.",,Rio Cuarto,Poda Sobre Red Aérea De Media Tension.,"Se podar&aacute;n &aacute;rboles con ramas a&ntilde;osas que podr&iacute;an poner en riesgo las l&iacute;neas el&eacute;ctricas, cayendo sobre ellas durante las tormentas. Algunos de los barrios en los que se realizar&aacute; esta tarea son:",Poda Preventiva
48151,11/09/2022,08:00,12:00,"calles Bosch, Amenábar, Obispo Altamira y Av. Valparaiso de barrio Ampliación San Fernando.",,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48136,11/09/2022,08:00,13:00,barrio Muller en forma parcial.,,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48083,11/09/2022,08:30,13:00,Localidad de Ticino.,,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48152,11/09/2022,08:30,11:30,barrios Alto Hermoso en forma parcial y Villa Warcalde en forma total.,,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48153,11/09/2022,09:00,16:00,"Camino San Carlos, desde Callejón de Arias en adelante, en forma total.",,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48137,11/09/2022,10:00,15:00,"Callejón de las Comunidades y Camino a Santa Rosa (zona rural), en forma parcial.",,Cordoba,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48138,11/09/2022,13:00,19:00,"Área comprendida por las calles Bedoya, Sucre, Jerónimo Luis de Cabrera y Roque Sáenz Peña de barrio Alta Córdoba, en forma parcial.",,Cordoba,Mantenimiento En Red Subterránea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48132,12/09/2022,08:00,13:00,"Camino rural a Las Estancias, Santo Domingo, La Victoria y Club Hípico Rio Ceballos.",,Rio Ceballos,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
48087,12/09/2022,13:30,18:00,"Barrios: La Quebrada, Pérez Taboada, San Jorge, Amuchástegui y Colanchanga.",,Rio Ceballos,Poda Sobre Red Aérea De Media Tension.,"Se podar&aacute;n &aacute;rboles con ramas a&ntilde;osas que podr&iacute;an poner en riesgo las l&iacute;neas el&eacute;ctricas, cayendo sobre ellas durante las tormentas. Algunos de los barrios en los que se realizar&aacute; esta tarea son:",Poda Preventiva
100,14/09/2022,14:00,17:30,"barrios Altos de Lujan, Pietri, Terrazas de Río Ceballos, Ñu Porá, Marino, Don Bosco, Centro, Moreyra, Agua del Peñon y El Vergel.",,Rio Ceballos,Mantenimiento En Red Aérea.,Realizaremos tareas de mantenimiento y mejoras en la infraestructura el&eacute;ctrica para evitar inconvenientes en el servicio. Algunos de los barrios en los que estaremos trabajando son:,Mantenimiento Y Mejoras
